鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150113,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.82,2,2,2,有,無,9750000,93693,坡道平面,29.3,1550000,,RPPNMLRKJHLGFBD77CB,佳展安和,B2棟2號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150113,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.82,2,2,2,有,無,9670000,93921,坡道平面,29.3,1450000,,RPQNMLRKJHLGFBD87CB,佳展安和,B2棟4號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150112,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,8770000,91867,坡道平面,29.3,1450000,,RPRNMLRKJHLGFBD97CB,佳展安和,B3棟4號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,26.19,住,,,1150113,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.87,3,2,2,有,無,13000000,95007,坡道平面,29.3,1450000,,RPSNMLRKJHLGFBD08CB,佳展安和,C1棟5號,
新化區,房地(土地+建物),臺南市新化區唪口68號旁,22.99,,鄉村區,乙種建築用地,1150118,土地3建物1車位0,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,73.73,2,2,1,有,無,6010000,81514,,0.0,0,,RPPNMLSKJHLGFHD48CB,永鄰6,6F-D號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,29.02,住,,,1150113,土地2建物1車位2,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.24,3,2,2,有,無,36450000,170848,坡道平面,62.72,3900000,,RPPNMLTKJHLGFAD87CB,國泰原美,A棟A2-07F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,22.68,住,,,1150114,土地2建物1車位1,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.41,3,2,2,有,無,27420000,168870,坡道平面,31.36,2250000,,RPQNMLTKJHLGFAD97CB,國泰原美,A棟A4-10F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,25.02,住,,,1150116,土地2建物1車位1,五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.63,3,2,2,有,無,28500000,161320,坡道平面,31.36,2000000,,RPRNMLTKJHLGFAD08CB,國泰原美,A棟A3-05F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,22.68,住,,,1150117,土地2建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.41,3,2,2,有,無,27140000,170346,坡道平面,31.36,1750000,,RPSNMLTKJHLGFAD18CB,國泰原美,A棟A4-12F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,25.12,住,,,1150115,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.63,3,2,2,有,無,13830000,108898,坡道平面,37.16,1800000,,RPPNMLTKJHLGFBD97CB,硯青,B棟B2-6F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,27.13,住,,,1150115,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.64,3,2,2,有,無,14700000,107902,坡道平面,37.16,1700000,,RPQNMLTKJHLGFBD08CB,硯青,A棟A5-10F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,23.62,住,,,1150115,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.51,3,2,2,有,無,12600000,105467,坡道平面,37.16,1700000,,RPRNMLTKJHLGFBD18CB,硯青,E棟E3-6F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,23.62,住,,,1150115,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.51,3,2,2,有,無,12630000,106725,坡道平面,37.16,1600000,,RPSNMLTKJHLGFBD28CB,硯青,E棟E3-8F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,28.64,住,,,1150115,土地1建物1車位2,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.56,3,2,2,有,無,16200000,106995,坡道平面,74.32,2800000,,RPTNMLTKJHLGFBD38CB,硯青,B棟B6-8F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,29.14,住,,,1150115,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.73,3,2,2,有,無,15230000,106059,坡道平面,37.16,1700000,,RPUNMLTKJHLGFBD48CB,硯青,E棟E1-7F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,29.14,住,,,1150115,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.73,3,2,2,有,無,15050000,104648,坡道平面,37.16,1700000,,RPVNMLTKJHLGFBD58CB,硯青,E棟E1-5F號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,12.45,商,,,1150114,土地2建物1車位1,八層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.57,3,2,2,有,無,25980000,181217,坡道平面,26.45,2400000,,RPPNMLTKJHLGFCD08CB,浩瀚無極,C棟C6號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,20.39,住,,,1150117,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.75,2,2,2,有,無,11420000,107273,坡道平面,43.14,1700000,,RPQNMLTKJHLGFCD18CB,天生贏家７- 是建築,A棟6號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,28.42,住,,,1150114,土地3建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.95,3,2,2,有,無,22190000,175705,坡道平面,39.18,2200000,,RPRNMLTKJHLGFCD28CB,宗大虎隱,B5棟6號,
東區,房地(土地+建物),臺南市東區裕忠路與裕興街口,28.42,住,,,1150112,土地3建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.77,3,2,2,有,無,21000000,184583,,0.0,0,,RPSNMLTKJHLGFCD38CB,宗大虎隱,B5棟8號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,20.59,住,,,1150112,土地3建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.0,2,2,2,有,無,17480000,184496,坡道平面,39.18,2200000,,RPTNMLTKJHLGFCD48CB,宗大虎隱,B6棟8號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區西埔二街70巷1號旁,47.77,,鄉村區,乙種建築用地,1150117,土地2建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.62,3,2,2,有,無,9580000,84624,一樓平面,14.32,1600000,,RPQNMLTKJHLGFID78CB,初居3,E棟E7/4F號,
永康區,房地(土地+建物)+車位,臺南市永康區平道路與永運一路交叉路口,19.78,商,,,1150112,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.32,3,2,2,有,無,16220000,119026,坡道平面,34.17,1800000,,RPPNMLTKJHLGFKD88CB,櫻花南科之櫻,A2棟11號,
永康區,房地(土地+建物)+車位,臺南市永康區忠孝路與忠孝路76巷交叉口,16.6,商,,,1150111,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.53,3,2,2,有,無,17900000,124507,坡道平面,28.22,1800000,,RPQNMLTKJHLGFKD98CB,聯上豐實,A棟5號,
永康區,房地(土地+建物)+車位,臺南市永康區忠孝路與忠孝路76巷交叉口,10.77,商,,,1150117,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.5,3,2,2,有,無,11750000,131893,坡道機械,9.72,700000,,RPRNMLTKJHLGFKD09CB,聯上豐實,A棟3號,
安南區,房地(土地+建物)+車位,臺南市安南區新宅五街,20.43,住,,,1150116,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.67,2,2,1,有,無,11550000,104209,坡道平面,32.34,1720000,,RPPNMLKLJHLGFBD17CB,昕暉詠翠,B棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,10.95,商,,,1150117,土地2建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.79,2,2,2,有,無,16430000,176456,坡道平面,25.73,1950000,,RPPNMLKLJHLGFCD27CB,國城?實,H棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150117,土地2建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,25250000,175175,坡道平面,25.73,1950000,,RPQNMLKLJHLGFCD37CB,國城?實,H棟2號,
善化區,房地(土地+建物)+車位,臺南市善化區六分寮260號旁,27.38,,鄉村區,乙種建築用地,1150113,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.37,3,2,2,有,無,7030000,64335,一樓平面,13.75,1200000,,RPPNMLKLJHLGFHD77CB,鄉景尚品,A棟9號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1150117,土地2建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,24060000,178842,坡道平面,25.73,2100000,,RPPNMLLLJHLGFCD37CB,國城?實,J棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150117,土地2建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,25030000,172769,坡道平面,25.73,2050000,,RPQNMLLLJHLGFCD47CB,國城?實,H棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,18.83,商,,,1150116,土地2建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.3,3,2,2,有,無,27000000,177032,坡道平面,26.8,1950000,,RPRNMLLLJHLGFCD57CB,國城?實,E棟5號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1150116,土地2建物1車位1,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,23580000,176154,坡道平面,25.73,1950000,,RPSNMLLLJHLGFCD67CB,國城?實,J棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150116,土地2建物1車位1,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,24550000,169160,坡道平面,25.73,2050000,,RPTNMLLLJHLGFCD77CB,國城?實,K棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,10.95,商,,,1150116,土地2建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.79,2,2,2,有,無,16320000,176334,坡道平面,25.73,1850000,,RPUNMLLLJHLGFCD87CB,國城?實,I棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.9,商,,,1150116,土地2建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.86,3,2,2,有,無,25500000,174458,坡道平面,25.73,2100000,,RPVNMLLLJHLGFCD97CB,國城?實,H棟1號,
西港區,房地(土地+建物)+車位,臺南市西港區溪埔寮社區,25.99,,鄉村區,乙種建築用地,1150120,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.5,2,2,2,有,無,9480000,81304,坡道平面,17.58,1600000,,RPPNMLLLJHLGFGD77CB,帝邦L'ART,B棟8號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,203.58,農,,,1150114,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,271.21,5,2,5,有,無,34420000,126913,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格144萬。,RPPNMLLLJHLGFID97CB,森樂章,B棟6號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,117.97,住,,,1150114,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,295.66,5,2,5,有,無,32760000,110803,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格6萬。,RPQNMLLLJHLGFID08CB,森樂章,B棟1號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,116.24,住,,,1150117,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,302.85,5,2,5,有,無,31900000,105333,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格6萬。,RPRNMLLLJHLGFID18CB,森樂章,B棟5號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,22.08,住,,,1150119,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.74,3,2,2,有,無,10920000,90584,坡道平面,29.3,1550000,,RPPNMLMLJHLGFBD37CB,佳展安和,B1棟4號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150119,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,8950000,94127,坡道平面,29.3,1450000,,RPQNMLMLJHLGFBD47CB,佳展安和,B3棟5號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,30.3,住,,,1150119,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.61,4,2,2,有,無,15730000,91636,坡道平面,58.6,2900000,,RPRNMLMLJHLGFBD57CB,佳展安和,C2棟4號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150119,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,108.37,0,0,1,有,無,15290000,172505,坡道平面,29.3,1650000,,RPSNMLMLJHLGFBD67CB,佳展安和,S3棟1號,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段及三興街交叉口,28.81,住,,,1150112,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.24,3,2,2,有,無,13250000,78171,坡道平面,25.73,1250000,,RPTNMLMLJHLGFDD97CB,佳順 ? 大悅,B2棟1號,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段及三興街交叉口,26.75,住,,,1150112,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,14160000,89504,坡道平面,25.73,1250000,,RPUNMLMLJHLGFDD08CB,佳順 ? 大悅,B6棟1號,
東區,房地(土地+建物)+車位,臺南市東區裕文路62號對面,54.09,其他,,,1150111,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,246.08,3,2,3,有,無,38990000,172569,坡道平面,32.6,2150000,,RPPNMLNLJHLGFCD57CB,舜之璽,B棟1號,
後壁區,房地(土地+建物),臺南市後壁區後壁147-59號對面,126.73,住,,,1150115,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,150.96,5,2,3,有,無,11500000,76179,,0.0,0,,RPPNMLNLJHLGFED77CB,樂活居,A棟16號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,20.59,住,,,1150113,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.99,2,2,1,有,無,11780000,105578,坡道平面,28.41,1900000,,RPUNMLOLJHLGFHD68CB,佳鋐科匯,A5棟0號,
善化區,房地(土地+建物),臺南市善化區龍目井路與陽光三路交叉口,18.87,住,,,1150113,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.81,2,2,2,有,無,8720000,102818,,0.0,0,,RPVNMLOLJHLGFHD78CB,佳鋐科匯,A3棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,18.87,住,,,1150120,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.22,2,2,2,有,無,11000000,107299,坡道平面,28.41,1900000,,RPWNMLOLJHLGFHD88CB,佳鋐科匯,A3棟0號,
六甲區,房地(土地+建物)+車位,臺南市六甲區光明街/光復街口,30.07,住,,,1150119,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.84,2,2,2,有,無,6940000,91508,其他,0.0,900000,該停車位位於法定空地上,RPQNMLQLJHLGFFD28CB,風光合3,A棟5號,
永康區,房地(土地+建物)+車位,臺南市永康區平道十六街與水漾路交叉口,23.83,住,,,1150117,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.7,3,2,2,有,無,19600000,143745,坡道平面,24.87,1800000,,RPPNMLQLJHLGFKD68CB,遠雄山禾,D棟D06F12號,
善化區,房地(土地+建物),臺南市善化區東勢寮11之1號正對面,13.31,,鄉村區,乙種建築用地,1150117,土地8建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,44.16,1,1,1,有,無,5230000,118433,,0.0,0,此戶為露臺戶面積8.16坪,RPPNMLSLJHLGFHD58CB,南科怡華悅,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,86.33,住,,,1150111,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,193.22,4,2,4,有,無,22000000,113860,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格8萬。,RPRNMLSLJHLGFID88CB,森樂章,A棟5號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,116.24,住,,,1150118,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,302.18,5,2,5,有,無,31890000,105533,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格6萬。,RPSNMLSLJHLGFID98CB,森樂章,B棟10號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.94,住,,,1150118,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.75,2,2,1,有,無,10700000,104267,坡道平面,19.31,2000000,,RPQNMLLMJHLGFBD47CB,?讀耶魯,A棟02號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.9,商,,,1150120,土地2建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.86,3,2,2,有,無,25270000,172370,坡道平面,25.73,2150000,,RPSNMLLJKHLGFCD57CB,國城?實,K棟1號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.9,商,,,1150118,土地2建物1車位1,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.86,3,2,2,有,無,24600000,168866,坡道平面,25.73,1950000,,RPTNMLLJKHLGFCD67CB,國城?實,H棟1號,
永康區,房地(土地+建物)+車位,臺南市永康區大灣段0495地號,28.13,住,,,1150118,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.48,3,2,2,有,無,12170000,106177,一樓平面,26.4,1650000,,RPWNMLMJKHLGFKD88CB,連建安什,A棟1號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,33.88,住,,,1150113,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.63,3,2,2,有,無,13400000,98097,坡道平面,36.85,1650000,,RPPNMLNJKHLGFHD97CB,白樓2璞域,壹棟B號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,26.25,住,,,1150118,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.63,2,2,2,有,無,10430000,96249,坡道平面,36.85,1500000,,RPQNMLNJKHLGFHD08CB,白樓2璞域,壹棟D號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,25.07,住,,,1150118,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.48,2,2,2,有,無,10050000,96468,坡道平面,36.85,1500000,,RPRNMLNJKHLGFHD18CB,白樓2璞域,壹棟C號,
永康區,房地(土地+建物)+車位,臺南市永康區大灣段0495地號,29.51,住,,,1150118,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.34,3,2,2,有,無,12580000,105157,一樓平面,26.4,1650000,,RPPNMLNJKHLGFKD28CB,連建安什,A棟5號,
安南區,房地(土地+建物),臺南市安南區永續路與永續一街口,10.62,住,,,1150118,土地1建物1車位0,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.0,0,0,0,無,無,7670000,114478,,0.0,0,,RPRNMLOJKHLGFBD67CB,一字得,B3號,
六甲區,房地(土地+建物)+車位,臺南市六甲區中華路231巷,37.12,住,,,1150114,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.15,3,2,2,有,無,8680000,77235,一樓平面,17.95,1250000,,RPPNMLPJKHLGFFD97CB,六甲奇蹟七期,A棟7號,
善化區,房地(土地+建物)+車位,臺南市善化區六分寮260號旁,27.38,,鄉村區,乙種建築用地,1150119,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.37,3,2,2,有,無,6980000,63783,一樓平面,13.75,1200000,,RPPNMLPJKHLGFHD18CB,鄉景尚品,A棟9號,
永康區,房地(土地+建物)+車位,臺南市永康區永大二路永吉路,17.07,商,,,1150113,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.22,3,2,2,有,無,16720000,110342,坡道平面,33.91,1900000,,RPPNMLPJKHLGFKD48CB,時代至上,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區安中路四段211巷附近,30.27,住,,,1150117,土地4建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.92,3,2,2,有,無,8600000,85821,一樓平面,14.19,1500000,,RPPNMLQJKHLGFBD67CB,合恆 寓紳鄰-曙光,A棟3號,
安南區,房地(土地+建物),臺南市安南區安中路四段211巷附近,28.7,住,,,1150118,土地4建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.48,3,2,2,有,無,6380000,81295,,0.0,0,,RPQNMLQJKHLGFBD77CB,合恆 寓紳鄰-曙光,C棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.73,住,,,1150118,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.41,2,2,1,有,無,11750000,118989,坡道平面,19.31,2100000,,RPSNMLRJKHLGFBD08CB,?讀耶魯,A棟08號,
